Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;Medium;Zaid, Muhammad;TensorFlow is in a relationship with Keras — Introducing TF 2.0;06/10/2019;https://towardsdatascience.com/tensorflow-is-in-a-relationship-with-keras-introducing-tf-2-0-dcf1228f73ae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;New Statesman;Williams, Oscar;How Big Tech funds the debate on AI ethics;06/06/2019;https://www.newstatesman.com/science-tech/2019/06/how-big-tech-funds-debate-ai-ethics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TechCrunch;Hatmaker, Taylor;Palantir wins $800 million contract to build the US Army's next battlefield software system;28/03/2019;https://techcrunch.com/2019/03/27/palantir-army-contract-dcgs-a/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;"Crowe, Robert; Katsiapis, Konstantinos; Haas, Kevin";TensorFlow Extended (TFX): Real World Machine Learning in Production;26/06/2019;https://blog.tensorflow.org/2019/06/tensorflow-extended-tfx-real-world_26.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;Grimstad, Jordan;An Introduction to the New and Improved TensorFlow Hub;19/12/2019;https://blog.tensorflow.org/2019/12/an-introduction-to-new-and-improved.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;"Poorazizi, Abraham; Khordoo, Mahmood; Amini, Mahsa";Disaster Watch: a crisis mapping platform to collect, evaluate, and publish disaster-related tweets;02/09/2019;https://blog.tensorflow.org/2019/09/disaster-watch-crisis-mapping-platform.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;"Radebaugh, Carey; Erlingsson, Ulfar";Introducing TensorFlow Privacy: Learning with Differential Privacy for Training Data;06/03/2019;https://blog.tensorflow.org/2019/03/introducing-tensorflow-privacy-learning.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;TensorFlow;Introducing TensorFlow Datasets;26/02/2019;https://blog.tensorflow.org/2019/02/introducing-tensorflow-datasets.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;TensorFlow Blog;"Zhuang, Yi; Thiagarajan, Arvind; Sweeney, Tim";Ranking Tweets with TensorFlow;04/03/2019;https://blog.tensorflow.org/2019/03/ranking-tweets-with-tensorflow.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2019;VentureBeat;Johnson, Khari;The U.S. military, algorithmic warfare, and big tech;08/11/2019;https://venturebeat.com/ai/the-u-s-military-algorithmic-warfare-and-big-tech/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2020;Google Cloud Blog;"Lewi, Jeremy; Gupta, Abhishek";Run ML workflows in production with cloud-native toolkit Kubeflow 1.0;03/03/2020;https://cloud.google.com/blog/products/ai-machine-learning/run-ml-workflows-in-production-with-cloud-native-toolkit-kubeflow-1-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
